Source	ISIN	ISIN Name	Type	Qty	MktPrice	Total	Statement Date
NSDL	INE280A01028	TITAN COMPANY LIMITED EQ NEW Re.1/-	S	36	3451.65	124259.4	4-Jan-25
CDSL	INE883F01010	AADHAR HOUSING FINANCE LIMITED # EQUITY SHARES	S	15	427.85	6417.75	4-Jan-25
CDSL	INE079A01024	AMBUJA CEMENTS LIMITED-NEW EQUITY SHARES OF RS.2/- AFTER SPLIT	S	20	548.4	10968	4-Jan-25
CDSL	INF194KB1AL4	BANDHAN AMC LTD#BANDHAN MF-BANDHAN EMERGING BUSINESS FUND-DIRECT-GROWTH	MF	983.622	51.653	50807.02717	4-Jan-25
CDSL	INE029A01011	BHARAT PETROLEUM CORPORATION LTD EQUITY SHARES	S	13	296.35	3852.55	4-Jan-25
CDSL	INE397D01024	BHARTI AIRTEL LIMITED - EQUITY SHARES OF RE 5/- AFTER SUB-DIVISION	S	4	1599.3	6397.2	4-Jan-25
CDSL	INF760K01EZ8	CANARA ROBECO AMC LTD#CANARA ROBECO MF-CANARA ROBECO EQUITY HYBRID FUND-DIRECT-GROWTH	MF	143.284	392.61	56254.73124	4-Jan-25
CDSL	INF760K01EI4	CANARA ROBECO AMC LTD-CANARA ROBECO MF-CANARA ROBECO EMERGING EQUITIES DIRECT PLAN GROWTH	MF	286.553	293.23	84025.93619	4-Jan-25
CDSL	INE736A01011	CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED -EQUITY SHARES	S	18	1805.35	32496.3	4-Jan-25
CDSL	INE522F01014	COAL INDIA LIMITED - EQUITY SHARES	S	30	393.9	11817	4-Jan-25
CDSL	INE03Q201024	GLENMARK LIFE SCIENCES LIMITED#NEW EQUITY SHARES WITH FACE VALUE RS. 2/- AFTER SUB DIVISION	S	5	1029.65	5148.25	4-Jan-25
CDSL	INF179K01WA6	HDFC AMC LTD#HDFC MF-HDFC BALANCED ADVANTAGE FUND-DIRECT-GROWTH	MF	18.184	541.659	9849.527256	4-Jan-25
CDSL	INE066F01020	HINDUSTAN AERONAUTICS LIMITED#NEW EQUITY SHARES WITH FACE VALUE RS.5/- AFTER SUB-DIVISION	S	5	4205.65	21028.25	4-Jan-25
CDSL	INE0GSL01024	HP ADHESIVES LIMITED#NEW EQUITY SHARES WITH FACE VALUE RS.2/- AFTER SUB-DIVISION	S	60	79.27	4756.2	4-Jan-25
CDSL	INF109K01Y80	ICICI PRU AMC LTD#ICICI PRU MF-ICICI PRU NIFTY NEXT 50 INDEX FUND-DIRECT PLAN-GROWTH	MF	74.402	63.853	4750.790906	4-Jan-25
CDSL	INF109KC1NT3	ICICI PRUD ASSET MGMT CO LTD#ICICI PRU MF-ICICI PRUENTIAL GOLD EXCHANGE TRADED FUND	MF	1545	67.1	103669.5	4-Jan-25
CDSL	INF109K014O9	ICICI PRUDENTIAL AMC LTD#ICICI PRU MF-ICICI PRU MULTICAP FUND-DIRECT PLAN-GROWTH	MF	5.807	858.73	4986.64511	4-Jan-25
CDSL	INE242A01010	INDIAN OIL CORPORATION LIMITED EQUITY SHARES	S	120	138.2	16584	4-Jan-25
CDSL	INE335Y01020	INDIAN RAILWAY CATERING AND TOURISM CORPORATION LTD#NEW EQUITY SHARES WITH FV RS.2/-AFT SUB DIVISION	S	10	796.05	7960.5	4-Jan-25
CDSL	INE053F01010	INDIAN RAILWAY FINANCE CORPORATION LIMITED # EQUITY SHARES	S	63	153.65	9679.95	4-Jan-25
CDSL	INE984B01023	INTEGRA ENGINEERING INDIA LIMITED #  NEW EQUITY SHARES OF RE.1/- AFTER REDUCTION OF CAPITAL	S	63	245.95	15494.85	4-Jan-25
CDSL	INE154A01025	ITC LIMITED - EQUITY SHARES OF RE.1/- AFTER SPLIT	S	14	482	6748	4-Jan-25
CDSL	INE758E01017	JIO FINANCIAL SERVICES LIMITED # EQUITY SHARES	S	14	307.35	4302.9	4-Jan-25
CDSL	INF174KA1210	KOTAK MAHINDRA AMC LTD#KOTAK MAHINDRA MF-KOTAK BALANCED ADVANTAGE FUND-DIRECT-GROWTH	MF	1949.197	21.593	42089.01082	4-Jan-25
CDSL	INE018A01030	LARSEN & TOUBRO LIMITED-EQUITY SHARES OF RS.2/- EACH	S	10	3660.95	36609.5	4-Jan-25
CDSL	INF767K01GW5	LIC MUTUAL FUND AMC LTD-LIC MF-LIC MF INFRASTRUCTURE FUND-DIRECT PLAN-GROWTH OPTION	MF	855.858	59.261	50719.00094	4-Jan-25
CDSL	INF769K01IQ9	MIRAE ASSET IM (I) P LTD#MIRAE ASSET MF-MIRAE GLOBAL ELECTRIC & AUTONOMUOS VEH ETFS FOF-DIR-GROWTH	ETF	1880.482	9.806	18440.00649	4-Jan-25
CDSL	INF769K01IS5	MIRAE ASSET IM (I) P LTD#MIRAE ASSET MF-MIRAE GLOBAL X ARTIFICIAL INTELLIG & TECH ETF FOF-DIR-GROWTH	ETF	1188.582	19.764	23491.13465	4-Jan-25
CDSL	INF769K01BJ9	MIRAE ASSET IM (I) PVT LTD#MIRAE ASSET MF-MIRAE ASSET LARGE & MIDCAP FUND-DIRECT PL-IDCW PAY	MF	357.366	89.428	31958.52665	4-Jan-25
CDSL	INF769K01HF4	MIRAE ASSET IM (I) PVT LTD#MIRAE ASSET MF-MIRAE ASSET NYSE FANG+EXCHANGE TRADED FUND	MF	462	133.12	61501.44	4-Jan-25
CDSL	INF247L01445	MOTILAL OSWAL AMC LTD#MOTILAL OSWAL MF-MOTILAL OSWAL MIDCAP 30 FUND-DIRECT PLAN-GROWTH	MF	394.414	129.134	50932.25748	4-Jan-25
CDSL	INE745G01035	MULTI COMMODITY EXCHANGE OF INDIA LIMITED-NEW EQUITY SHARES OF RS 10/- AFTER CONSOLIDATION	S	5	6155.85	30779.25	4-Jan-25
CDSL	INF457M01133	NIPPON LIFE INDIA AM LTD#NIPPON INDIA MF-NIPPON INDIA CPSE ETF RGESS QUALIFIED-GRW OPT	ETF	640	88.1	56384	4-Jan-25
CDSL	INF204KB14I2	NIPPON LIFE INDIA AM LTD#NIPPON INDIA MF-NIPPON INDIA ETF NIFTY 50 BEES	ETF	76	268.5	20406	4-Jan-25
CDSL	INF204K01K15	NIPPON LIFE INDIA AM LTD#NIPPON INDIA MF-NIPPON INDIA SMALL CAP FUND DIRECT PL DV PL-GROWTH OPT	MF	362.091	197.013	71336.63418	4-Jan-25
CDSL	INE260D01016	OLECTRA GREENTECH LIMITED # EQUITY SHARES	S	3	1488.4	4465.2	4-Jan-25
CDSL	INE752E01010	POWER GRID CORPORATION OF INDIA LIMITED - EQUITY SHARES	S	15	316.15	4742.25	4-Jan-25
CDSL	INF966L01887	QUANT MONEY MANAGERS LTD#QUANT MF-QUANT MIDCAP FUND-DIRECT-GROWTH	MF	278.921	251.756	70220.03528	4-Jan-25
CDSL	INF966L01689	QUANT MONEY MANAGERS LTD#QUANT MF-QUANT SMALL CAP FUND-DIRECT-GROWTH	MF	58.406	285.489	16674.27053	4-Jan-25
CDSL	INE020B01018	REC LIMITED # EQUITY SHARES	S	49	538	26362	4-Jan-25
CDSL	INE0N2P01017	RISHABH INSTRUMENTS LIMITED # EQUITY SHARES	S	10	340.95	3409.5	4-Jan-25
